season,offense,team_off_snaps
2023,MSST,926
2024,MSST,964
2020,MSUN,954
2021,MSUN,1199
2022,MSUN,1176
2023,MSUN,1112
2024,MSUN,1106
2020,MSVA,245
2021,MSVA,880
2022,MSVA,858
2023,MSVA,862
2024,MSVA,962
2021,MTST,1187
2022,MTST,1199
2023,MTST,891
2024,MTST,1262
2020,MTUN,184
2021,MTUN,1094
2022,MTUN,1107
2023,MTUN,1247
2024,MTUN,1159
2021,NCAN,90
2022,NCAN,75
2023,NCAN,61
2020,NCAP,1006
2021,NCAP,1177
2022,NCAP,1003
2023,NCAP,1206
2024,NCAP,937
2021,NCAT,829
2022,NCAT,882
2023,NCAT,744
2024,NCAT,941
2022,NCBA,73
2023,NCBA,79
2024,NCCA,76
2021,NCCE,853
2022,NCCE,944
2023,NCCE,929
2024,NCCE,780
2023,NCCH,71
2020,NCCM,325
2021,NCCM,897
2022,NCCM,959
2023,NCCM,902
2024,NCCM,925
2020,NCCR,508
2021,NCCR,995
2022,NCCR,977
2023,NCCR,964
2024,NCCR,924
2020,NCDA,604
2021,NCDA,918
2022,NCDA,1002
2023,NCDA,931
2024,NCDA,973
2020,NCDU,1008
2021,NCDU,1139
2022,NCDU,1063
2023,NCDU,976
2024,NCDU,1050
2020,NCEA,809
2021,NCEA,1077
2022,NCEA,1091
2023,NCEA,944
2024,NCEA,1088
2021,NCEC,81
2020,NCEL,429
2021,NCEL,896
2022,NCEL,950
2023,NCEL,839
2024,NCEL,920
2020,NCGW,338
2021,NCGW,904
2022,NCGW,1158
2023,NCGW,1069
2024,NCGW,998
2022,NCMH,90
2021,NCSH,75
2020,NCST,1022
2021,NCST,1000
2022,NCST,1098
2023,NCST,1048
2024,NCST,1008
2020,NCUN,1036
2021,NCUN,1099
2022,NCUN,1240
2023,NCUN,1148
2024,NCUN,1086
2020,NCWE,675
2021,NCWE,1041
2022,NCWE,971
2023,NCWE,922
2024,NCWE,1141
2020,NCWF,842
2021,NCWF,1305
2022,NCWF,1177
2023,NCWF,958
2024,NCWF,1035
2021,NCWS,70
2022,NCWS,57
2023,NCWS,74
2024,NCWS,73
2020,NDST,741
2021,NDST,1117
2022,NDST,1106
2023,NDST,1132
2024,NDST,1248
2020,NDUN,546
2021,NDUN,899
2022,NDUN,953
2023,NDUN,873
2024,NDUN,957
2022,NECH,95
2020,NEUN,680
2021,NEUN,997
2022,NEUN,947
2023,NEUN,887
2024,NEUN,1043
2021,NHDA,754
2022,NHDA,728
2023,NHDA,812
2024,NHDA,805
2024,NHFP,100
2021,NHSA,89
2024,NHSA,60
2020,NHUN,71
2021,NHUN,806
2022,NHUN,1050
2023,NHUN,954
2024,NHUN,1000
2020,NJMO,353
2021,NJMO,951
2022,NJMO,883
2023,NJMO,889
2024,NJMO,982
2021,NJPR,862
2022,NJPR,786
2023,NJPR,816
2024,NJPR,761
2020,NJRU,795
2021,NJRU,1079
2022,NJRU,949
2023,NJRU,979
2024,NJRU,1089
2022,NMEA,85
2021,NMHI,111
2020,NMST,177
2021,NMST,1100
2022,NMST,944
2023,NMST,1121
2024,NMST,1009
2020,NMUN,620
2021,NMUN,907
2022,NMUN,879
2023,NMUN,976
2024,NMUN,1034
2022,NMWE,75
2020,NVLV,517
2021,NVLV,908
2022,NVLV,950
2023,NVLV,1159
2024,NVLV,1143
2020,NVRE,740
2021,NVRE,1113
2022,NVRE,1017
2023,NVRE,970
2024,NVRE,998
2020,NYAB,339
2021,NYAB,841
2022,NYAB,900
2023,NYAB,1169
2024,NYAB,968
2024,NYBC,73
2020,NYBU,561
2021,NYBU,1079
2022,NYBU,1196
2023,NYBU,997
2024,NYBU,1074
2020,NYCG,161
2021,NYCG,847
2022,NYCG,874
2023,NYCG,915
2024,NYCG,936
2021,NYCL,846
2022,NYCL,828
2023,NYCL,778
2024,NYCL,774
2021,NYCN,821
2022,NYCN,818
2023,NYCN,852
2024,NYCN,842
2020,NYCW,311
2021,NYCW,756
2022,NYCW,911
2023,NYCW,760
2024,NYCW,868
2020,NYFO,270
2021,NYFO,913
2022,NYFO,1147
2023,NYFO,932
2024,NYFO,970
2021,NYMR,707
2022,NYMR,874
2023,NYMR,882
2024,NYMR,895
2020,NYST,302
2021,NYST,895
2022,NYST,856
2023,NYST,770
2024,NYST,1094
2020,NYSY,837
2021,NYSY,965
2022,NYSY,998
2023,NYSY,1032
2024,NYSY,1185
2020,NYWA,125
2021,NYWA,887
2022,NYWA,870
2023,NYWA,855
2024,NYWA,891
2020,NYWP,930
2021,NYWP,1034
2022,NYWP,907
2023,NYWP,878
2024,NYWP,1028
2020,OHAK,456
2021,OHAK,963
